check,rows
rows,45584
missing_weather,616
missing_traffic,601
missing_order_type,0
missing_vehicle_type,0
missing_festival,228
missing_city_type,1200
unparsed_rider_id,0
sentinel_rider_rows,91
rating_out_of_range_after_sentinel,0
missing_multiple_deliveries,993
bad_order_date,0
order_time_unparsed_by_v1,5799
order_time_recovered_from_fraction,4068
order_time_imputed_from_pickup,1731
order_time_still_missing,0
restaurant_coords_invalid,3640
distance_recovered_with_city_centroid,3640
distance_missing,0
missing_target,0
