order_id,order_date,actual,predicted,traffic,weather,vehicle,city_type,city_code,is_peak_hour,distance_km,multiple_deliveries,coords_recovered,order_time_imputed,distance_bucket,abs_error
0x5174,2022-03-15,54.0,26.872097,Jam,Sunny,motorcycle,Metropolitian,MYS,1,9.326629230589917,0.0,0,0,6-10 km,27.12790298461914
0x2967,2022-03-24,53.0,31.292818,High,Sunny,motorcycle,Metropolitian,MUM,1,6.116395677579424,1.0,0,1,6-10 km,21.707181930541992
0xc377,2022-02-11,43.0,23.863544,Jam,Sunny,motorcycle,Metropolitian,AURG,1,9.157701551888586,1.0,0,1,6-10 km,19.136455535888672
0x1165,2022-03-02,44.0,25.588144,Jam,Sandstorms,electric_scooter,Metropolitian,PUNE,1,12.25702912420444,0.0,0,1,>10 km,18.411855697631836
0x32ae,2022-03-04,42.0,24.98624,Missing,Missing,motorcycle,Metropolitian,MYS,0,17.0992490973686,,0,1,>10 km,17.01375961303711
0x16bc,2022-03-14,53.0,36.032223,Jam,Stormy,motorcycle,Metropolitian,HYD,1,13.830728187311475,1.0,0,1,>10 km,16.967777252197266
0x274f,2022-03-17,39.0,22.196642,High,Windy,motorcycle,Metropolitian,JAP,1,5.959275127209691,0.0,0,0,3-6 km,16.80335807800293
0xa24,2022-03-21,39.0,22.804901,Missing,Missing,bicycle,Metropolitian,RANCHI,1,4.528168320170964,1.0,1,1,3-6 km,16.195098876953125
0x8aa,2022-03-15,49.0,32.91691,High,Sunny,motorcycle,Urban,SUR,1,6.08121272434363,1.0,0,1,6-10 km,16.083091735839844
0x1b77,2022-03-17,42.0,26.659838,High,Sunny,motorcycle,Metropolitian,COIMB,1,6.232198498990747,1.0,0,0,6-10 km,15.34016227722168
0x5d8,2022-03-24,11.0,26.219246,Jam,Sandstorms,scooter,Metropolitian,COIMB,1,4.674330462833213,0.0,0,0,3-6 km,15.219245910644531
0x2957,2022-03-04,36.0,20.805164,Missing,Missing,scooter,Urban,PUNE,0,10.725467883365685,1.0,0,1,>10 km,15.194835662841797
0x3930,2022-03-20,52.0,36.88821,Jam,Stormy,motorcycle,Metropolitian,MUM,1,16.820001996955664,0.0,0,0,>10 km,15.11178970336914
0xc003,2022-02-18,20.0,34.85931,Missing,Missing,scooter,Metropolitian,DEH,1,19.086833777112577,1.0,0,1,>10 km,14.859310150146484
0x820a,2022-03-01,37.0,22.23685,High,Windy,motorcycle,Metropolitian,HYD,1,6.147135856684542,0.0,0,0,6-10 km,14.76314926147461
