case,order_id,actual,predicted,base_value,factor,shap_min
typical,0x156c,35.0,37.745704650878906,26.236704,Rider rating,6.491249084472656
typical,0x156c,35.0,37.745704650878906,26.236704,Vehicle condition,3.1432628631591797
typical,0x156c,35.0,37.745704650878906,26.236704,Weather,-3.006183624267578
typical,0x156c,35.0,37.745704650878906,26.236704,Rider age,1.478166103363037
typical,0x156c,35.0,37.745704650878906,26.236704,Distance x traffic,1.2786556482315063
typical,0x156c,35.0,37.745704650878906,26.236704,Distance,1.24420166015625
worst_late,0x443,54.0,33.985939025878906,26.236704,Distance,2.897482395172119
worst_late,0x443,54.0,33.985939025878906,26.236704,Traffic,2.350337505340576
worst_late,0x443,54.0,33.985939025878906,26.236704,Rider age,2.232712984085083
worst_late,0x443,54.0,33.985939025878906,26.236704,Order time,1.3556734323501587
worst_late,0x443,54.0,33.985939025878906,26.236704,Rider rating,-1.2995541095733643
worst_late,0x443,54.0,33.985939025878906,26.236704,Weather,0.9462411403656006
