trial,subsample,reg_lambda,objective,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree,val_MAE,val_RMSE,seconds
8,0.8,1.0,reg:squarederror,500,3,8,0.03,0.8,3.0862571863304353,3.8887882114461316,2.0
16,1.0,5.0,reg:absoluteerror,300,3,8,0.03,1.0,3.1092570911958592,3.949994325462327,3.1
13,1.0,5.0,reg:squarederror,300,5,8,0.08,1.0,3.1117113991332115,3.9214237049870535,1.0
12,0.8,10.0,reg:absoluteerror,800,1,6,0.03,0.8,3.1297477984692503,3.9929381563550166,4.8
0,0.8,10.0,reg:squarederror,800,3,6,0.05,0.8,3.12985651352033,3.94751557083228,2.4
5,0.7,5.0,reg:squarederror,800,10,5,0.05,1.0,3.136923019936027,3.9636421080702657,1.8
7,0.8,1.0,reg:absoluteerror,800,5,6,0.03,0.8,3.140829681703962,4.002693869978164,5.0
19,0.8,5.0,reg:absoluteerror,500,3,6,0.03,0.6,3.155435297811141,4.030495445328041,3.1
9,0.8,10.0,reg:squarederror,800,3,5,0.03,0.6,3.176783707128952,4.001502240507724,1.7
2,1.0,10.0,reg:absoluteerror,500,5,5,0.03,0.8,3.177631328276185,4.066559900684811,3.2
17,0.7,10.0,reg:squarederror,800,5,4,0.08,0.8,3.2236125457407647,4.069572981089898,1.6
18,1.0,1.0,reg:absoluteerror,800,1,4,0.05,0.6,3.2443125241774307,4.140309967901932,4.9
4,0.8,10.0,reg:squarederror,300,1,5,0.03,0.8,3.2664777963419387,4.10083000678889,0.7
6,0.8,10.0,reg:pseudohubererror,300,10,8,0.03,1.0,7805.951806191816,7805.957451084318,0.4
1,1.0,5.0,reg:pseudohubererror,500,5,6,0.03,0.6,7805.951806191816,7805.957451084318,0.6
3,1.0,10.0,reg:pseudohubererror,500,3,5,0.08,1.0,7805.951806191816,7805.957451084318,0.6
15,1.0,5.0,reg:pseudohubererror,300,1,4,0.05,1.0,7805.951806191816,7805.957451084318,0.4
14,1.0,10.0,reg:pseudohubererror,500,10,4,0.05,1.0,7805.951806191816,7805.957451084318,0.6
10,1.0,10.0,reg:pseudohubererror,800,5,5,0.08,1.0,7805.951806191816,7805.957451084318,0.8
11,0.8,10.0,reg:pseudohubererror,500,5,7,0.08,0.6,7805.951806191816,7805.957451084318,0.6
