term,coef,ci95_low,ci95_high,p_value,spec
const,41.5578348647172,40.41490635882482,42.70076337060958,0.0,linear_age_rating
distance_km,0.3383881694374726,0.3252430610911057,0.35153327778383947,0.0,linear_age_rating
traffic_level,2.6856906495761357,2.6160054871401037,2.7553758120121676,0.0,linear_age_rating
rider_age,0.3895543687519237,0.37761305035551507,0.4014956871483323,0.0,linear_age_rating
rider_rating,-7.224327805788521,-7.439774175587625,-7.008881435989417,0.0,linear_age_rating
vehicle_condition,-2.288062669421058,-2.3726535188650586,-2.2034718199770578,0.0,linear_age_rating
multiple_deliveries,3.442459943946909,3.31156956015376,3.5733503277400582,0.0,linear_age_rating
is_peak_hour,-1.5147700502569514,-1.68821491660573,-1.3413251839081728,1.1041547232353602e-65,linear_age_rating
festival_yes,10.758768656249147,10.344407165244183,11.173130147254112,0.0,linear_age_rating
const,22.7083499221774,22.45842263537121,22.958277208983592,0.0,step_age_rating
distance_km,0.34525360852027254,0.3327403969718049,0.35776682006874017,0.0,step_age_rating
traffic_level,2.5634784032602638,2.4955727201217868,2.6313840863987408,0.0,step_age_rating
vehicle_condition,-2.094490509264281,-2.1762426574600555,-2.0127383610685063,0.0,step_age_rating
multiple_deliveries,3.1918042918974607,3.065333554600902,3.3182750291940195,0.0,step_age_rating
is_peak_hour,-1.4070208587026014,-1.5734514575082152,-1.2405902598969876,1.1534111106694721e-61,step_age_rating
age_30_plus,4.8567065075636116,4.719405820300061,4.994007194827162,0.0,step_age_rating
rating_ge_4_5,-6.7799877931629,-6.951272633682555,-6.608702952643245,0.0,step_age_rating
festival_yes,10.408675448555725,9.972601195291922,10.844749701819527,0.0,step_age_rating
