rating_r,n,mean,ci95_low,ci95_high,median,sd
2.5,16,38.375,36.082040047365176,40.667959952634824,37.5,4.303099657998484
2.6,16,38.9375,36.43460617536043,41.44039382463957,40.0,4.697073557013984
2.7,17,36.529411764705884,34.64802745190517,38.410796077506596,37.0,3.659194704078063
2.8,15,36.13333333333333,33.870592655055965,38.3960740116107,35.0,4.085980677296222
2.9,14,38.5,36.09527484261388,40.90472515738612,39.5,4.164871408117404
3.0,5,32.8,31.181068215291294,34.418931784708704,33.0,1.3038404810405297
3.1,23,36.65217391304348,34.629724951724384,38.67462287436257,35.0,4.676913275501404
3.2,25,36.4,34.6609281603079,38.1390718396921,36.0,4.2130748865881795
3.3,20,36.2,34.438348698420384,37.96165130157962,36.0,3.764096312879305
3.4,27,35.7037037037037,33.95575522879846,37.451652178608946,34.0,4.418621563815634
3.5,184,36.92391304347826,36.28699595692335,37.56083013003317,36.0,4.378870517472592
3.6,155,36.79354838709678,36.06692614786872,37.520170626324834,36.0,4.579310862623282
3.7,181,37.34254143646409,36.60685606525231,38.07822680767587,37.0,5.0159536763207555
3.8,169,37.10059171597633,36.43892864207997,37.762254789872685,37.0,4.357048163080958
3.9,159,37.295597484276726,36.511718298859655,38.0794766696938,36.0,5.0044960280914905
4.0,858,34.60839160839161,34.13377386855439,35.08300934822882,34.0,7.083138521802513
4.1,1118,34.34257602862254,33.90170325658195,34.78344880066312,34.0,7.513032149995991
4.2,1132,34.49469964664311,34.06111745856925,34.92828183471698,34.0,7.435009794450303
4.3,1106,34.40596745027125,33.980019351772285,34.83191554877021,34.0,7.219551170844475
4.4,1097,34.850501367365545,34.40943397120853,35.29156876352256,35.0,7.445267579388492
4.5,2606,23.597467382962396,23.288847611450798,23.906087154473994,23.0,8.03454019802959
4.6,5464,24.534590043923867,24.30344221527342,24.765737872574313,24.0,8.715671264279354
4.7,5657,24.074244299098464,23.851318371991287,24.29717022620564,23.0,8.552885000436362
4.8,5652,24.023000707714083,23.801307886415557,24.244693529012608,23.0,8.50181374788437
4.9,5630,24.085435168738897,23.858230998807855,24.31263933866994,23.0,8.696189825321834
5.0,3197,25.538629965592744,25.216653380204427,25.86060655098106,25.0,9.285023658030072
