city_code,orders,avg_minutes,p50_minutes,p90_minutes,avg_distance_km,jam_share_pct,over_40min_pct,riders,restaurants
ALH,740,27.03,27.0,40.0,10.25,30.9,9.5,60,20
BHP,691,26.8,26.0,40.0,9.56,30.7,9.7,60,20
JAP,3443,26.69,26.0,40.0,10.32,32.5,10.0,60,20
DEH,737,26.68,26.0,40.39999999999998,9.86,31.5,10.0,60,20
AURG,703,26.65,26.0,40.0,9.54,30.6,9.5,60,20
AGR,763,26.64,26.0,40.0,10.09,34.7,9.4,60,20
HYD,3179,26.43,26.0,40.0,9.64,30.2,9.3,60,20
CHEN,3144,26.36,26.0,40.0,9.74,31.8,9.2,60,20
KOL,700,26.36,25.5,39.0,9.48,31.0,8.1,60,20
KNP,740,26.35,26.0,40.0,10.32,31.5,9.2,60,20
KOC,701,26.35,26.0,41.0,9.86,31.8,10.1,60,20
PUNE,3132,26.34,25.0,39.0,9.61,31.1,9.1,60,20
VAD,3166,26.3,26.0,40.0,9.59,31.5,9.6,60,20
COIMB,3169,26.29,26.0,40.0,9.73,30.6,8.9,60,20
LUDH,758,26.28,25.0,40.0,9.96,35.1,7.9,60,20
RANCHI,3228,26.24,25.0,39.0,9.38,30.2,8.9,60,20
GOA,709,26.2,26.0,39.0,9.5,29.2,7.9,60,20
INDO,3158,26.12,25.5,39.0,9.48,30.7,8.5,60,20
SUR,3187,26.08,25.0,39.0,9.62,31.3,7.8,60,20
BANG,3193,26.05,25.0,39.0,9.7,30.8,7.9,60,20
MUM,3173,26.05,25.0,39.0,9.56,29.2,8.2,60,20
MYS,3170,26.0,25.0,39.0,9.68,30.5,8.4,60,20
