city_code,rider_id,orders,avg_minutes,avg_rating,speed_rank,rating_rank,speed_quartile
BANG,BANGRES15DEL02,59,23.07,4.58,1,2,1
BANG,BANGRES15DEL03,45,23.27,4.69,2,1,1
BANG,BANGRES17DEL03,45,23.38,4.63,3,2,1
CHEN,CHENRES08DEL02,54,23.59,4.62,1,3,1
CHEN,CHENRES03DEL02,52,23.65,4.64,2,3,1
CHEN,CHENRES06DEL02,56,24.09,4.62,3,3,1
COIMB,COIMBRES07DEL03,43,21.88,4.76,1,1,1
COIMB,COIMBRES09DEL03,45,23.58,4.68,2,2,1
COIMB,COIMBRES14DEL03,46,23.89,4.64,3,3,1
HYD,HYDRES18DEL02,60,23.3,4.71,1,1,1
HYD,HYDRES06DEL02,61,24.11,4.67,2,1,1
HYD,HYDRES08DEL03,43,24.35,4.66,3,1,1
INDO,INDORES02DEL02,57,23.75,4.65,1,2,1
INDO,INDORES08DEL03,46,23.87,4.58,2,2,1
INDO,INDORES12DEL01,61,24.08,4.67,3,1,1
JAP,JAPRES04DEL02,57,24.42,4.62,1,2,1
JAP,JAPRES13DEL02,57,24.58,4.68,2,1,1
JAP,JAPRES18DEL03,53,24.77,4.71,3,1,1
MUM,MUMRES12DEL02,56,22.8,4.69,1,2,1
MUM,MUMRES17DEL02,56,23.84,4.63,2,3,1
MUM,MUMRES12DEL03,43,23.91,4.69,3,2,1
MYS,MYSRES07DEL03,46,23.28,4.7,1,1,1
MYS,MYSRES01DEL03,41,23.44,4.69,2,1,1
MYS,MYSRES19DEL03,45,23.8,4.64,3,2,1
PUNE,PUNERES010DEL03,42,22.6,4.63,1,2,1
PUNE,PUNERES07DEL02,59,22.71,4.69,2,1,1
PUNE,PUNERES01DEL03,43,23.6,4.67,3,1,1
RANCHI,RANCHIRES09DEL03,45,22.87,4.62,1,2,1
RANCHI,RANCHIRES08DEL03,46,23.59,4.71,2,1,1
RANCHI,RANCHIRES13DEL02,56,24.39,4.64,3,2,1
SUR,SURRES16DEL01,62,23.81,4.7,1,1,1
SUR,SURRES010DEL03,46,23.87,4.7,2,1,1
SUR,SURRES18DEL03,43,23.98,4.61,3,2,1
VAD,VADRES03DEL03,46,22.78,4.65,1,2,1
VAD,VADRES02DEL03,42,23.45,4.65,2,3,1
VAD,VADRES01DEL02,55,24.24,4.66,3,2,1
