day,orders,avg_minutes,change_vs_prev_day,orders_change_pct,avg_minutes_ma7
2022-02-11,970,23.42,,,23.42
2022-02-12,864,30.06,6.64,-10.9,26.74
2022-02-13,957,23.36,-6.71,10.8,25.61
2022-02-14,851,30.06,6.7,-11.1,26.73
2022-02-15,945,23.29,-6.77,11.0,26.04
2022-02-16,861,30.3,7.0,-8.9,26.75
2022-02-17,939,23.5,-6.8,9.1,26.28
2022-02-18,855,29.67,6.17,-8.9,27.18
2022-03-01,1140,23.23,-6.44,33.3,26.2
2022-03-02,1012,29.51,6.28,-11.2,27.08
2022-03-03,1150,23.05,-6.45,13.6,26.08
2022-03-04,980,29.57,6.51,-14.8,26.97
2022-03-05,1154,23.08,-6.49,17.8,25.94
2022-03-06,986,30.07,6.99,-14.6,26.88
2022-03-07,1153,23.0,-7.07,16.9,25.93
2022-03-08,964,29.86,6.86,-16.4,26.88
2022-03-09,1159,23.41,-6.45,20.2,26.01
2022-03-10,996,30.21,6.8,-14.1,27.03
2022-03-11,1148,23.31,-6.9,15.3,26.14
2022-03-12,964,29.56,6.25,-16.0,27.06
2022-03-13,1169,23.35,-6.2,21.3,26.1
2022-03-14,973,30.18,6.83,-16.8,27.13
2022-03-15,1192,23.41,-6.78,22.5,26.21
2022-03-16,995,29.82,6.41,-16.5,27.12
2022-03-17,1134,23.19,-6.63,14.0,26.12
2022-03-18,968,30.25,7.06,-14.6,27.11
2022-03-19,1148,23.12,-7.13,18.6,26.19
2022-03-20,993,30.13,7.01,-13.5,27.16
2022-03-21,1149,23.62,-6.51,15.7,26.22
2022-03-23,964,30.11,6.48,-16.1,27.18
2022-03-24,1162,22.88,-7.22,20.5,26.19
2022-03-25,974,29.64,6.75,-16.2,27.11
2022-03-26,1165,23.14,-6.5,19.6,26.09
2022-03-27,965,29.58,6.44,-17.2,27.01
2022-03-28,1139,23.41,-6.17,18.0,26.05
2022-03-29,977,30.08,6.67,-14.2,26.98
2022-03-30,1141,23.34,-6.74,16.8,26.01
2022-03-31,967,29.27,5.93,-15.2,26.92
2022-04-01,1133,23.37,-5.9,17.2,26.03
2022-04-02,992,29.72,6.35,-12.4,26.97
2022-04-03,1178,23.07,-6.64,18.8,26.04
2022-04-04,941,29.38,6.31,-20.1,26.89
2022-04-05,1156,23.22,-6.16,22.8,25.91
2022-04-06,961,29.64,6.42,-16.9,26.81
