,importance
cat__traffic_Low,0.2587381
cat__weather_Sunny,0.07232434
num__traffic_level,0.06463878
cat__weather_Fog,0.0573185
num__multiple_deliveries,0.051645517
num__rider_rating,0.049277008
cat__weather_Cloudy,0.048655454
num__distance_x_traffic,0.045647737
num__vehicle_condition,0.04043156
cat__traffic_Jam,0.037998743
cat__festival_Yes,0.0348084
cat__festival_No,0.032461733
num__rider_age,0.021690695
cat__city_type_Semi-Urban,0.011647956
num__distance_km,0.0115638925
cat__traffic_Medium,0.010466006
cat__festival_Missing,0.007876584
cat__traffic_Missing,0.0073529514
cat__city_type_Metropolitian,0.0070135123
cat__weather_Stormy,0.006468504
cat__weather_Sandstorms,0.0064572273
cat__weather_Windy,0.0060857506
cat__traffic_High,0.0054690624
num__hour_sin,0.005041801
num__order_time_imputed,0.004779924
num__traffic_missing,0.004362565
num__hour_cos,0.0040050475
cat__city_type_Urban,0.00326287
num__order_hour,0.0030938962
cat__vehicle_type_motorcycle,0.0030900831
num__weather_missing,0.002713919
cat__weather_Missing,0.0026650461
cat__time_of_day_Evening,0.002387979
cat__city_type_Missing,0.002355788
cat__time_of_day_Afternoon,0.0022807296
cat__vehicle_type_scooter,0.002257349
num__rider_profile_invalid,0.001987253
cat__city_code_SUR,0.0018817725
cat__city_code_CHEN,0.0017739144
cat__city_code_AGR,0.001767131
cat__vehicle_type_bicycle,0.0017611841
num__restaurant_coords_missing,0.001696548
cat__city_code_RANCHI,0.0016891387
cat__city_code_MYS,0.0016697651
cat__city_code_KNP,0.0016460373
cat__city_code_VAD,0.0016311778
cat__city_code_COIMB,0.0016282328
cat__city_code_LUDH,0.0016175995
cat__city_code_AURG,0.0016064093
cat__city_code_DEH,0.0016034534
cat__city_code_BANG,0.001594938
cat__city_code_JAP,0.0015949105
cat__city_code_BHP,0.0015863694
cat__city_code_GOA,0.0015846147
num__rest_avg_minutes_prev7d,0.0015735806
num__rider_days_since_active,0.0015590136
num__rider_prev_slow_pct,0.0015568149
cat__city_code_INDO,0.0015565631
cat__city_code_ALH,0.0015362664
num__rest_orders_prev7d,0.0015239723
num__is_peak_hour,0.0015233762
cat__vehicle_type_electric_scooter,0.0015190088
cat__city_code_MUM,0.0015173161
num__rider_prev_avg_minutes,0.0015170807
cat__city_code_PUNE,0.0015055178
cat__city_code_HYD,0.0014990354
num__rider_prev_orders,0.0014806048
cat__city_code_KOC,0.0014794596
cat__city_code_KOL,0.001464746
num__day_of_week,0.0013495561
cat__order_type_Meal,0.0013246561
cat__order_type_Snack,0.0013021522
cat__order_type_Buffet,0.0012812532
cat__order_type_Drinks,0.0012529164
num__is_weekend,0.0011791794
cat__time_of_day_Night,0.00084251224
cat__time_of_day_Morning,0.0
