row,expected_prev_orders,sql_prev_orders,expected_prev_avg,sql_prev_avg,match
23249,2,2.0,28.5,28.5,True
35441,3,3.0,23.666666666666668,23.666666666666668,True
5805,13,13.0,27.923076923076923,27.923076923076923,True
20103,3,3.0,26.0,26.0,True
4093,31,31.0,28.806451612903224,28.806451612903224,True
27613,49,49.0,27.0,27.0,True
25224,4,4.0,38.5,38.5,True
25820,39,39.0,28.666666666666668,28.666666666666668,True
3844,44,44.0,25.727272727272727,25.727272727272727,True
2892,10,10.0,19.4,19.4,True
34740,27,27.0,24.074074074074073,24.074074074074073,True
12579,26,26.0,26.153846153846153,26.153846153846153,True
21391,7,7.0,27.142857142857142,27.142857142857142,True
7978,49,49.0,25.244897959183675,25.244897959183675,True
19960,30,30.0,26.833333333333332,26.833333333333332,True
28626,41,41.0,25.804878048780488,25.804878048780488,True
29173,22,22.0,25.863636363636363,25.863636363636363,True
22949,34,34.0,27.0,27.0,True
35608,43,43.0,26.906976744186046,26.906976744186046,True
8824,40,40.0,23.05,23.05,True
22569,13,13.0,28.076923076923077,28.076923076923077,True
22430,34,34.0,25.0,25.0,True
35428,17,17.0,23.941176470588236,23.941176470588236,True
3078,13,13.0,29.153846153846153,29.153846153846153,True
41327,26,26.0,23.846153846153847,23.846153846153847,True
13805,37,37.0,28.72972972972973,28.72972972972973,True
36088,2,2.0,37.5,37.5,True
42736,4,4.0,36.75,36.75,True
26094,26,26.0,26.0,26.0,True
22535,3,3.0,22.0,22.0,True
5803,7,7.0,22.0,22.0,True
25312,1,1.0,25.0,25.0,True
1691,43,43.0,24.348837209302324,24.348837209302324,True
13924,18,18.0,25.61111111111111,25.61111111111111,True
10871,3,3.0,32.333333333333336,32.333333333333336,True
24711,15,15.0,26.2,26.2,True
12568,10,10.0,21.5,21.5,True
38043,5,5.0,27.6,27.6,True
41832,35,35.0,25.885714285714286,25.885714285714286,True
12562,0,0.0,,,True
34450,15,15.0,26.466666666666665,26.466666666666665,True
33771,24,24.0,28.916666666666668,28.916666666666668,True
11988,48,48.0,25.8125,25.8125,True
11880,37,37.0,25.513513513513512,25.513513513513512,True
1894,11,11.0,22.272727272727273,22.272727272727273,True
21281,4,4.0,22.5,22.5,True
8045,24,24.0,24.75,24.75,True
28557,23,23.0,29.73913043478261,29.73913043478261,True
15112,21,21.0,27.666666666666668,27.666666666666668,True
7489,20,20.0,30.55,30.55,True
9747,6,6.0,21.333333333333332,21.333333333333332,True
28825,7,7.0,23.428571428571427,23.428571428571427,True
36806,28,28.0,26.964285714285715,26.964285714285715,True
13663,4,4.0,24.75,24.75,True
36104,28,28.0,27.392857142857142,27.392857142857142,True
20203,2,2.0,31.5,31.5,True
11145,10,10.0,24.9,24.9,True
38770,0,0.0,,,True
41695,32,32.0,26.6875,26.6875,True
31752,18,18.0,26.833333333333332,26.833333333333332,True
41072,24,24.0,25.708333333333332,25.708333333333332,True
8571,57,57.0,27.87719298245614,27.87719298245614,True
31585,37,37.0,27.89189189189189,27.89189189189189,True
6347,10,10.0,30.9,30.9,True
31828,48,48.0,27.354166666666668,27.354166666666668,True
34489,9,9.0,23.444444444444443,23.444444444444443,True
7589,30,30.0,25.266666666666666,25.266666666666666,True
9209,51,51.0,28.098039215686274,28.098039215686274,True
25607,45,45.0,26.444444444444443,26.444444444444443,True
8171,48,48.0,25.583333333333332,25.583333333333332,True
4411,15,15.0,23.2,23.2,True
42137,3,3.0,28.333333333333332,28.333333333333332,True
6901,29,29.0,24.413793103448278,24.413793103448278,True
3462,28,28.0,26.785714285714285,26.785714285714285,True
12167,42,42.0,25.857142857142858,25.857142857142858,True
6383,50,50.0,23.8,23.8,True
5367,6,6.0,27.5,27.5,True
44640,6,6.0,32.333333333333336,32.333333333333336,True
27899,14,14.0,28.642857142857142,28.642857142857142,True
24715,4,4.0,20.5,20.5,True
13340,31,31.0,26.06451612903226,26.06451612903226,True
34526,15,15.0,26.666666666666668,26.666666666666668,True
6581,6,6.0,22.333333333333332,22.333333333333332,True
12971,10,10.0,33.5,33.5,True
9125,43,43.0,26.558139534883722,26.558139534883722,True
7289,49,49.0,25.653061224489797,25.653061224489797,True
8593,7,7.0,22.857142857142858,22.857142857142858,True
21973,19,19.0,26.94736842105263,26.94736842105263,True
41066,38,38.0,25.236842105263158,25.236842105263158,True
3769,20,20.0,29.25,29.25,True
18558,5,5.0,30.6,30.6,True
7557,25,25.0,26.16,26.16,True
25141,35,35.0,26.942857142857143,26.942857142857143,True
35287,8,8.0,26.625,26.625,True
37793,6,6.0,28.833333333333332,28.833333333333332,True
22954,39,39.0,25.641025641025642,25.641025641025642,True
21578,1,1.0,48.0,48.0,True
35072,46,46.0,26.630434782608695,26.630434782608695,True
35421,0,0.0,,,True
36139,6,6.0,30.666666666666668,30.666666666666668,True
36167,38,38.0,25.789473684210527,25.789473684210527,True
21405,0,0.0,,,True
20833,6,6.0,21.333333333333332,21.333333333333332,True
33327,50,50.0,25.12,25.12,True
32837,33,33.0,26.393939393939394,26.393939393939394,True
2959,26,26.0,24.346153846153847,24.346153846153847,True
4709,37,37.0,26.45945945945946,26.45945945945946,True
19831,31,31.0,29.419354838709676,29.419354838709676,True
40754,17,17.0,22.647058823529413,22.647058823529413,True
15416,17,17.0,29.294117647058822,29.294117647058822,True
16801,25,25.0,23.28,23.28,True
31771,9,9.0,30.11111111111111,30.11111111111111,True
3596,4,4.0,20.0,20.0,True
1038,42,42.0,23.666666666666668,23.666666666666668,True
22175,41,41.0,24.5609756097561,24.5609756097561,True
6925,53,53.0,25.67924528301887,25.67924528301887,True
18469,42,42.0,27.30952380952381,27.30952380952381,True
20092,0,0.0,,,True
15194,5,5.0,24.6,24.6,True
31674,14,14.0,30.857142857142858,30.857142857142858,True
30190,16,16.0,26.4375,26.4375,True
2648,33,33.0,26.666666666666668,26.666666666666668,True
31091,9,9.0,25.555555555555557,25.555555555555557,True
35718,30,30.0,26.433333333333334,26.433333333333334,True
28898,30,30.0,26.366666666666667,26.366666666666667,True
30863,13,13.0,30.0,30.0,True
30972,24,24.0,28.333333333333332,28.333333333333332,True
1986,18,18.0,26.944444444444443,26.944444444444443,True
20340,0,0.0,,,True
13084,7,7.0,19.285714285714285,19.285714285714285,True
35662,29,29.0,25.310344827586206,25.310344827586206,True
41989,52,52.0,25.865384615384617,25.865384615384617,True
43470,4,4.0,29.75,29.75,True
22612,15,15.0,24.733333333333334,24.733333333333334,True
25676,47,47.0,25.425531914893618,25.425531914893618,True
4041,10,10.0,32.7,32.7,True
6995,12,12.0,24.833333333333332,24.833333333333332,True
334,4,4.0,26.0,26.0,True
20404,24,24.0,26.125,26.125,True
9073,9,9.0,31.555555555555557,31.555555555555557,True
1032,22,22.0,25.0,25.0,True
5200,38,38.0,22.973684210526315,22.973684210526315,True
19747,51,51.0,27.313725490196077,27.313725490196077,True
15581,40,40.0,26.85,26.85,True
7337,52,52.0,25.923076923076923,25.923076923076923,True
14172,35,35.0,27.17142857142857,27.17142857142857,True
20286,8,8.0,28.5,28.5,True
20996,37,37.0,26.72972972972973,26.72972972972973,True
1399,13,13.0,28.76923076923077,28.76923076923077,True
45095,2,2.0,22.5,22.5,True
10857,31,31.0,25.903225806451612,25.903225806451612,True
35623,46,46.0,25.67391304347826,25.67391304347826,True
1576,25,25.0,22.96,22.96,True
30732,50,50.0,27.66,27.66,True
32598,11,11.0,26.727272727272727,26.727272727272727,True
30385,15,15.0,27.533333333333335,27.533333333333335,True
22360,12,12.0,25.333333333333332,25.333333333333332,True
18995,17,17.0,23.764705882352942,23.764705882352942,True
40486,29,29.0,26.20689655172414,26.20689655172414,True
30077,52,52.0,28.057692307692307,28.057692307692307,True
43670,8,8.0,25.25,25.25,True
34478,32,32.0,26.9375,26.9375,True
24891,42,42.0,25.904761904761905,25.904761904761905,True
26361,1,1.0,46.0,46.0,True
22668,3,3.0,24.0,24.0,True
20997,1,1.0,28.0,28.0,True
32840,7,7.0,31.714285714285715,31.714285714285715,True
15784,3,3.0,28.0,28.0,True
31660,11,11.0,24.545454545454547,24.545454545454547,True
20445,8,8.0,26.25,26.25,True
26467,34,34.0,25.441176470588236,25.441176470588236,True
19610,3,3.0,31.0,31.0,True
19837,5,5.0,22.0,22.0,True
13427,2,2.0,24.5,24.5,True
26054,39,39.0,28.487179487179485,28.487179487179485,True
888,15,15.0,22.8,22.8,True
36531,25,25.0,25.76,25.76,True
27381,54,54.0,25.27777777777778,25.27777777777778,True
4385,18,18.0,25.11111111111111,25.11111111111111,True
32038,54,54.0,26.314814814814813,26.314814814814813,True
36516,23,23.0,23.347826086956523,23.347826086956523,True
19669,24,24.0,22.416666666666668,22.416666666666668,True
26591,11,11.0,30.90909090909091,30.90909090909091,True
21082,9,9.0,25.11111111111111,25.11111111111111,True
25667,6,6.0,31.166666666666668,31.166666666666668,True
19875,26,26.0,27.846153846153847,27.846153846153847,True
35412,37,37.0,27.91891891891892,27.91891891891892,True
4311,16,16.0,24.0,24.0,True
16069,32,32.0,26.4375,26.4375,True
25132,44,44.0,25.772727272727273,25.772727272727273,True
20006,52,52.0,26.384615384615383,26.384615384615383,True
20807,52,52.0,27.134615384615383,27.134615384615383,True
32749,22,22.0,25.454545454545453,25.454545454545453,True
38733,4,4.0,30.5,30.5,True
3986,35,35.0,25.857142857142858,25.857142857142858,True
30973,36,36.0,23.305555555555557,23.305555555555557,True
28662,26,26.0,26.076923076923077,26.076923076923077,True
19050,16,16.0,24.4375,24.4375,True
19734,2,2.0,18.5,18.5,True
43750,52,52.0,25.115384615384617,25.115384615384617,True
16626,29,29.0,25.03448275862069,25.03448275862069,True
24782,28,28.0,25.142857142857142,25.142857142857142,True
28629,27,27.0,28.40740740740741,28.40740740740741,True
4265,5,5.0,28.4,28.4,True
22779,48,48.0,23.5,23.5,True
37331,9,9.0,25.555555555555557,25.555555555555557,True
38828,45,45.0,28.444444444444443,28.444444444444443,True
14978,30,30.0,25.7,25.7,True
37509,29,29.0,27.03448275862069,27.03448275862069,True
5738,25,25.0,24.0,24.0,True
4175,43,43.0,24.906976744186046,24.906976744186046,True
13710,24,24.0,25.375,25.375,True
